"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YLR284C",32.7766411049649,0.913654329298693,0.372415214681606,2.45332170459205,0.0141543688529174,0.0303843274357941
"YMR197C",70.9635119434854,-0.716992643018729,0.292607367393674,-2.45035745136959,0.0142714458999275,0.0306252541130442
"YDR485C",226.605050051218,-0.996504018236999,0.406899951330241,-2.44901483762585,0.0143247547024371,0.0307292227741561
"YJR002W",81.7820171156252,0.645113850383751,0.263454539451909,2.44867236573659,0.0143383807164153,0.0307414420443576
"YOR163W",56.9085523682001,0.733700861837429,0.299637617248391,2.44862734050248,0.0143401729966564,0.0307414420443576
"YOR108W",36.2834622672002,-0.818203764382396,0.334707143585459,-2.44453630603043,0.014503848193904,0.0310817810837848
"YBL076C",330.847779859607,0.718610779653282,0.294050397038627,2.44383543396094,0.0145320535484894,0.031131675691276
"YNL042W",33.3249606843607,0.833962002227873,0.341558097721922,2.44164025912464,0.0146207076701951,0.0313109906218469
"YPR051W",35.5154756315678,-0.893310209301351,0.366475361968928,-2.43757235002633,0.0147862549797356,0.0316547990832254
"YBR035C",229.630631236999,-0.488943479126741,0.200671911316909,-2.43653172941868,0.0148288684369458,0.0317352839239408
"YBL008W",52.5724906191903,0.745904504489245,0.306391421693231,2.43448233755078,0.0149131076590617,0.0319047675358276
"YCR014C",66.145316544538,0.975146253376135,0.400602088789033,2.4342016196767,0.0149246791961926,0.031918725477417
"YFL059W",37.9653176040285,-0.910297109881869,0.374042264232488,-2.43367447192029,0.0149464302537771,0.0319537159476212
"YKR023W",111.31134402826,-1.06734180826032,0.438592714232907,-2.43356027955705,0.0149511457129999,0.0319537159476212
"YJR013W",47.2189924585881,0.67569890776366,0.277740399627824,2.43284343462135,0.0149807770553126,0.0320062277357421
"YPL129W",81.635872647706,-0.678821713588437,0.279097488806125,-2.43220287109061,0.0150072990026737,0.0320520631181724
"YCR076C",38.6751946178496,0.731725269387997,0.300950696053381,2.43137922252291,0.0150414621972302,0.0321141819497919
